City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
50,Cherskiy,RU,2022-07-19 15:01:10,68.75,161.3,34.56,82,98,12.41
51,Mar Del Plata,AR,2022-07-19 14:58:30,-38.0023,-57.5575,47.95,73,0,14.97
52,Idrinskoye,RU,2022-07-19 15:02:08,54.3708,92.1358,53.91,88,94,4.23
53,Upernavik,GL,2022-07-19 14:57:55,72.7868,-56.1549,45.28,73,100,7.18
54,Esperance,AU,2022-07-19 15:00:56,-33.8667,121.9,54.45,88,69,13.78
55,Keokuk,US,2022-07-19 15:02:09,40.3973,-91.3849,83.08,83,0,6.91
56,Sinazongwe,ZM,2022-07-19 15:02:09,-17.2614,27.4618,74.71,50,64,5.82
57,Sao Gabriel Da Cachoeira,BR,2022-07-19 15:00:19,-0.1303,-67.0892,81.88,79,67,3.76
58,Ishigaki,JP,2022-07-19 15:02:09,24.3448,124.1572,85.12,85,100,16.33
59,Mahebourg,MU,2022-07-19 15:01:10,-20.4081,57.7,70.25,69,15,25.19
60,Nikolskoye,RU,2022-07-19 14:57:56,59.7035,30.7861,71.87,49,94,7.25
61,Jamestown,US,2022-07-19 14:58:22,42.097,-79.2353,82.94,67,1,5.99
62,Hobart,AU,2022-07-19 15:00:03,-42.8794,147.3294,44.46,83,100,4.61
63,Albany,US,2022-07-19 14:59:03,42.6001,-73.9662,83.57,61,0,3.0
64,Kavaratti,IN,2022-07-19 15:02:11,10.5669,72.642,79.86,85,100,21.39
65,Tasiilaq,GL,2022-07-19 15:02:11,65.6145,-37.6368,37.56,75,24,3.4
66,Jibuti,DJ,2022-07-19 15:02:12,11.5,42.5,94.64,29,94,13.51
67,Hasaki,JP,2022-07-19 15:02:12,35.7333,140.8333,79.2,86,100,13.78
68,Vestmannaeyjar,IS,2022-07-19 15:02:13,63.4427,-20.2734,52.79,93,75,8.05
69,Clyde River,CA,2022-07-19 15:02:13,70.4692,-68.5914,36.36,96,100,7.61
70,Georgetown,MY,2022-07-19 14:57:50,5.4112,100.3354,80.89,89,40,2.3
71,Punta Arenas,CL,2022-07-19 15:02:14,-53.15,-70.9167,37.11,93,43,14.14
72,Bluff,NZ,2022-07-19 15:02:14,-46.6,168.3333,42.8,73,79,14.23
73,Mataura,NZ,2022-07-19 15:02:15,-46.1927,168.8643,42.48,91,100,2.48
74,College,US,2022-07-19 15:02:15,64.8569,-147.8028,52.0,94,100,1.99
75,Hibbing,US,2022-07-19 15:02:16,47.4272,-92.9377,79.39,49,40,13.8
76,Sitka,US,2022-07-19 14:57:57,57.0531,-135.33,53.49,87,100,5.75
77,Lewisporte,CA,2022-07-19 15:02:16,49.2499,-55.0482,81.23,41,100,0.38
78,Emba,KZ,2022-07-19 15:02:16,48.8264,58.1442,95.72,26,40,19.64
79,Nouadhibou,MR,2022-07-19 15:02:17,20.931,-17.0347,67.05,94,26,17.69
80,Chicama,PE,2022-07-19 15:02:17,-7.8447,-79.1469,68.22,67,82,6.78
81,Cabo San Lucas,MX,2022-07-19 14:53:07,22.8909,-109.9124,87.62,75,44,6.53
82,Namibe,AO,2022-07-19 15:02:18,-15.1961,12.1522,66.88,77,19,10.94
83,Waddan,LY,2022-07-19 15:02:18,29.1614,16.139,95.86,19,0,15.61
84,Katherine,AU,2022-07-19 15:02:18,-14.4667,132.2667,66.52,63,38,5.75
85,Alofi,NU,2022-07-19 15:02:19,-19.0595,-169.9187,76.48,74,25,25.88
86,Ibra,OM,2022-07-19 15:02:22,22.6906,58.5334,85.23,68,43,8.72
87,Naze,JP,2022-07-19 14:56:47,28.3667,129.4833,79.72,85,100,13.38
88,Dikson,RU,2022-07-19 15:02:24,73.5069,80.5464,43.9,83,80,15.64
89,Tiksi,RU,2022-07-19 15:02:24,71.6872,128.8694,33.3,97,100,20.31
90,Pangnirtung,CA,2022-07-19 15:02:25,66.1451,-65.7125,46.78,83,100,1.95
91,Sioux Lookout,CA,2022-07-19 15:02:25,50.1001,-91.917,69.44,85,100,7.49
92,Busselton,AU,2022-07-19 15:02:25,-33.65,115.3333,56.71,78,100,9.98
93,Mustafakemalpasa,TR,2022-07-19 15:02:25,40.0353,28.4117,81.63,40,0,21.21
94,Durango,MX,2022-07-19 14:59:24,24.8333,-104.8333,72.3,44,3,4.32
95,Grinnell,US,2022-07-19 14:58:31,41.743,-92.7224,81.01,69,0,13.8
96,Avarua,CK,2022-07-19 15:03:26,-21.2078,-159.775,71.65,73,40,4.61
97,Saint Stephen,GB,2022-07-19 15:03:26,50.3333,-4.9,82.15,73,0,14.97
98,Touros,BR,2022-07-19 15:03:27,-5.1989,-35.4608,81.54,68,59,17.78
