City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Avarua,CK,2022-07-22 16:33:57,overcast clouds,-21.2078,-159.775,74.8,78,96,10.71
61,Lebu,CL,2022-07-22 16:33:57,overcast clouds,-37.6167,-73.65,54.34,96,100,11.07
62,Hambantota,LK,2022-07-22 16:33:57,overcast clouds,6.1241,81.1185,79.57,81,98,19.95
63,Lompoc,US,2022-07-22 16:33:58,clear sky,34.6391,-120.4579,74.93,76,7,11.01
64,Puerto Ayora,EC,2022-07-22 16:33:58,scattered clouds,-0.7393,-90.3518,72.55,83,48,7.0
65,Asekeyevo,RU,2022-07-22 16:33:58,overcast clouds,53.5742,52.7972,70.07,56,94,4.9
66,Mercedes,AR,2022-07-22 16:33:59,clear sky,-34.6515,-59.4307,66.04,45,2,6.55
67,Dikson,RU,2022-07-22 16:33:59,overcast clouds,73.5069,80.5464,53.29,73,100,10.83
68,Sao Joao Da Barra,BR,2022-07-22 16:29:17,clear sky,-21.6403,-41.0511,74.16,73,2,12.57
69,Kodinsk,RU,2022-07-22 16:34:00,overcast clouds,58.6881,99.1844,60.19,84,89,4.43
70,East London,ZA,2022-07-22 16:34:00,clear sky,-33.0153,27.9116,69.39,51,5,8.03
71,Shingu,JP,2022-07-22 16:34:00,clear sky,33.7333,135.9833,73.58,85,0,5.5
72,Atuona,PF,2022-07-22 16:34:01,clear sky,-9.8,-139.0333,76.96,76,2,15.28
73,Hudson Bay,CA,2022-07-22 16:34:01,few clouds,52.85,-102.3842,67.77,50,20,4.63
74,Monaghan,IE,2022-07-22 16:31:45,overcast clouds,54.25,-6.9667,67.39,65,85,4.18
75,Gagret,IN,2022-07-22 16:34:01,overcast clouds,31.6667,76.0667,81.73,77,100,4.23
76,Hermanus,ZA,2022-07-22 16:34:02,overcast clouds,-34.4187,19.2345,56.8,68,92,11.77
77,Ilo,PE,2022-07-22 16:34:02,clear sky,-17.6394,-71.3375,64.09,73,4,10.29
78,Cayenne,GF,2022-07-22 16:34:03,few clouds,4.9333,-52.3333,87.1,31,12,6.78
79,Saint-Joseph,RE,2022-07-22 16:34:03,few clouds,-21.3667,55.6167,66.2,78,22,13.38
80,Batemans Bay,AU,2022-07-22 16:34:03,broken clouds,-35.7167,150.1833,52.11,93,56,4.68
81,Butaritari,KI,2022-07-22 16:34:04,scattered clouds,3.0707,172.7902,80.96,76,30,9.19
82,Ponta Do Sol,PT,2022-07-22 16:34:04,clear sky,32.6667,-17.1,82.71,57,0,3.71
83,Grand Gaube,MU,2022-07-22 16:34:04,scattered clouds,-20.0064,57.6608,71.38,72,45,5.99
84,Tura,IN,2022-07-22 16:34:05,overcast clouds,25.5198,90.2201,75.74,95,100,2.73
85,Tarakan,ID,2022-07-22 16:34:05,broken clouds,3.3,117.6333,80.74,76,65,3.29
86,Petrovsk-Zabaykalskiy,RU,2022-07-22 16:31:24,overcast clouds,51.273,108.843,57.29,96,100,3.11
87,Tuktoyaktuk,CA,2022-07-22 16:34:05,overcast clouds,69.4541,-133.0374,56.37,71,86,6.8
88,Serenje,ZM,2022-07-22 16:34:06,few clouds,-13.2325,30.2352,59.11,60,21,5.35
89,Angoram,PG,2022-07-22 16:34:06,clear sky,-4.0625,144.0661,73.18,98,5,0.83
90,Kapaa,US,2022-07-22 16:34:06,moderate rain,22.0752,-159.319,72.12,94,12,9.89
91,Champerico,GT,2022-07-22 16:34:07,overcast clouds,14.3,-91.9167,82.81,75,86,6.64
92,San Jose,US,2022-07-22 16:33:20,clear sky,37.3394,-121.895,75.51,61,0,1.99
93,Olafsvik,IS,2022-07-22 16:35:07,overcast clouds,64.8945,-23.7142,53.24,83,99,2.15
94,Juneau,US,2022-07-22 16:35:07,overcast clouds,58.3019,-134.4197,55.22,97,99,2.35
95,Qaanaaq,GL,2022-07-22 16:35:08,overcast clouds,77.484,-69.3632,42.19,84,100,11.54
96,Bluff,NZ,2022-07-22 16:35:08,broken clouds,-46.6,168.3333,34.81,84,83,7.25
97,Souillac,MU,2022-07-22 16:35:08,scattered clouds,-20.5167,57.5167,70.11,79,28,15.75
98,Thompson,CA,2022-07-22 16:35:09,overcast clouds,55.7435,-97.8558,54.36,80,100,6.35
99,Comodoro Rivadavia,AR,2022-07-22 16:35:09,clear sky,-45.8667,-67.5,40.93,35,1,6.96
100,Luderitz,NA,2022-07-22 16:35:09,few clouds,-26.6481,15.1594,61.07,68,13,14.36
101,Carutapera,BR,2022-07-22 16:35:10,broken clouds,-1.195,-46.02,88.25,52,56,6.33
102,Albany,US,2022-07-22 16:30:47,clear sky,42.6001,-73.9662,91.63,42,7,9.89
103,Port Elizabeth,ZA,2022-07-22 16:35:10,broken clouds,-33.918,25.5701,62.31,50,78,3.0
104,Norman Wells,CA,2022-07-22 16:35:10,scattered clouds,65.282,-126.8329,71.46,47,33,4.88
105,Laguna,US,2022-07-22 16:34:49,clear sky,38.421,-121.4238,89.08,44,0,1.01
106,Tamale,GH,2022-07-22 16:33:20,overcast clouds,9.4008,-0.8393,84.29,58,99,3.71
107,Jiuquan,CN,2022-07-22 16:35:11,clear sky,39.7432,98.5174,77.27,16,0,7.78
108,Santa Elena,EC,2022-07-22 16:35:11,overcast clouds,-2.2333,-80.85,69.55,80,100,9.1
109,Gilbues,BR,2022-07-22 16:35:11,clear sky,-9.8317,-45.3439,91.92,21,2,5.95
110,Avera,US,2022-07-22 16:35:12,overcast clouds,33.194,-82.5271,84.54,56,100,7.31
111,Grindavik,IS,2022-07-22 16:35:12,overcast clouds,63.8424,-22.4338,51.94,93,100,6.04
112,Harper,LR,2022-07-22 16:35:12,scattered clouds,4.375,-7.7169,79.16,62,45,7.81
113,Kahului,US,2022-07-22 16:35:13,clear sky,20.8947,-156.47,76.84,87,2,7.0
114,Khatanga,RU,2022-07-22 16:35:13,overcast clouds,71.9667,102.5,45.77,83,100,14.14
115,Kyra,RU,2022-07-22 16:35:13,overcast clouds,49.5776,111.9753,58.14,91,100,1.45
116,Kodiak,US,2022-07-22 16:35:14,broken clouds,57.79,-152.4072,50.0,78,63,1.16
117,Saldanha,ZA,2022-07-22 16:35:14,overcast clouds,-33.0117,17.9442,56.12,85,100,3.74
118,Upernavik,GL,2022-07-22 16:35:14,light rain,72.7868,-56.1549,42.06,95,100,24.96
119,Hearst,CA,2022-07-22 16:35:15,scattered clouds,49.6835,-83.6665,75.54,48,37,10.02
120,Jinji,CN,2022-07-22 16:35:15,clear sky,23.2281,110.8261,80.55,83,4,3.83
121,Ostrovnoy,RU,2022-07-22 16:35:15,overcast clouds,68.0531,39.5131,52.45,98,100,15.61
122,Melaka,MY,2022-07-22 16:35:16,overcast clouds,2.196,102.2405,78.3,87,100,5.28
123,Richards Bay,ZA,2022-07-22 16:35:16,clear sky,-28.783,32.0377,68.07,78,0,12.15
124,Kruisfontein,ZA,2022-07-22 16:35:16,overcast clouds,-34.0033,24.7314,58.89,73,100,4.79
125,Hasaki,JP,2022-07-22 16:35:17,scattered clouds,35.7333,140.8333,77.29,90,31,18.41
126,Nyurba,RU,2022-07-22 16:33:13,overcast clouds,63.2842,118.3319,62.83,79,100,3.78
127,Sokoto,NG,2022-07-22 16:35:17,overcast clouds,13.0609,5.239,92.95,41,100,4.94
128,Santa Cecilia,BR,2022-07-22 16:35:18,broken clouds,-26.9608,-50.4269,72.45,47,60,4.43
129,Los Llanos De Aridane,ES,2022-07-22 16:35:18,few clouds,28.6585,-17.9182,72.97,71,13,11.92
130,Bredasdorp,ZA,2022-07-22 16:35:18,overcast clouds,-34.5322,20.0403,54.36,64,100,7.85
131,Bowen,AU,2022-07-22 16:35:19,clear sky,-20.0167,148.2333,58.57,62,0,5.88
132,Aklavik,CA,2022-07-22 16:35:19,broken clouds,68.2191,-135.0107,68.02,49,56,3.98
133,Rameswaram,IN,2022-07-22 16:35:19,overcast clouds,9.2833,79.3,81.68,83,93,17.74
134,Constitucion,CL,2022-07-22 16:35:20,overcast clouds,-35.3333,-72.4167,59.63,74,99,8.99
135,Talaya,RU,2022-07-22 16:35:20,clear sky,61.3833,152.75,45.7,79,2,1.25
136,Faanui,PF,2022-07-22 16:31:05,few clouds,-16.4833,-151.75,77.65,74,13,10.29
137,Illescas,ES,2022-07-22 16:36:20,overcast clouds,40.1221,-3.847,103.6,9,86,14.47
138,Zhigansk,RU,2022-07-22 16:36:21,overcast clouds,66.7697,123.3711,51.93,94,97,7.78
139,Vila Velha,BR,2022-07-22 16:36:21,clear sky,-20.3297,-40.2925,78.94,70,2,1.01
140,Broome,US,2022-07-22 16:36:22,clear sky,42.2506,-75.833,87.17,54,3,7.0
141,Sharjah,AE,2022-07-22 16:36:22,broken clouds,25.3573,55.4033,96.22,59,66,11.77
142,Bandarbeyla,SO,2022-07-22 16:36:22,overcast clouds,9.4942,50.8122,77.74,80,97,33.11
143,Kaeo,NZ,2022-07-22 16:36:23,broken clouds,-35.1,173.7833,48.33,92,84,8.72
144,Raudeberg,NO,2022-07-22 16:36:23,broken clouds,61.9875,5.1352,53.96,80,69,25.77
145,Boa Vista,BR,2022-07-22 16:36:23,scattered clouds,2.8197,-60.6733,85.44,66,47,6.89
146,Astana,KZ,2022-07-22 16:36:24,broken clouds,51.1801,71.446,63.73,61,58,6.85
147,Pevek,RU,2022-07-22 16:36:24,overcast clouds,69.7008,170.3133,31.62,90,100,2.21
148,Victoria,HK,2022-07-22 16:34:24,clear sky,22.2855,114.1577,89.19,81,3,10.0
149,Tezu,IN,2022-07-22 16:36:25,overcast clouds,27.9167,96.1667,77.23,74,100,3.29
