City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
245,Vammala,FI,75.27,few clouds,61.3333,22.9,Vammalan Seurahuone Oy
246,Yerbogachen,RU,62.08,overcast clouds,61.2767,108.0108,
248,Marmaris,TR,82.98,clear sky,36.855,28.2742,BLUE BAY PLATINUM HOTEL
250,Nybro,SE,75.24,broken clouds,56.7446,15.9071,Stora Hotellet I Nybro
251,Komsomolskiy,UZ,89.89,clear sky,40.4272,71.7189,Ikathouse
252,Mitsamiouli,KM,75.69,light rain,-11.3847,43.2844,Foyer ADM
253,Along,IN,74.97,overcast clouds,28.1667,94.7667,Hotel West
254,Road Town,VG,81.66,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
255,Aleksandrov Gay,RU,75.65,scattered clouds,50.147,48.5704,Gostinitsa
256,Oistins,BB,84.51,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
257,Yishui,CN,72.45,heavy intensity rain,35.7847,118.6281,Nationality Hotel
258,Ishinomaki,JP,72.72,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
259,Auki,SB,75.81,overcast clouds,-8.7676,160.7034,Auki Motel
261,Athabasca,CA,62.22,scattered clouds,54.7169,-113.2854,Athabasca Lodge Motel
262,Fort Frances,CA,78.17,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
263,San Cristobal,VE,83.88,overcast clouds,7.7669,-72.225,Pirineos
268,Moose Factory,CA,73.96,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
270,Cabo San Lucas,MX,86.25,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
271,Inhambane,MZ,67.12,clear sky,-23.865,35.3833,Oceano
273,Casas Grandes,MX,79.45,broken clouds,30.3667,-107.95,Pueblo del Soul B&B
275,Cordoba,AR,71.76,clear sky,-31.4135,-64.1811,Hotel Sussex
276,Nacala,MZ,71.49,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
278,Panguiranan,PH,80.53,overcast clouds,12.0699,123.3185,
279,Nokaneng,BW,65.12,broken clouds,-19.6667,22.2667,
281,Ivanava,BY,77.95,clear sky,52.1451,25.5365,Bed&Breakfast Valeria
282,Lapua,FI,63.1,overcast clouds,62.9693,23.0088,Hotelli Lapuahovi Ravintola Baari
283,Vao,NC,74.5,light rain,-22.6667,167.4833,Hotel Kou-Bugny
286,Tongzi,CN,67.42,overcast clouds,28.7829,105.0877,Jiayuan Hotel
288,Morant Bay,JM,90.72,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
290,Sao Filipe,CV,75.83,broken clouds,14.8961,-24.4956,Hotel Xaguate
292,Boulsa,BF,87.89,moderate rain,12.6675,-0.5758,Auberge Relwende
294,Rubik,AL,86.76,clear sky,41.7744,19.7861,Hotel Marub
295,Touros,BR,82.2,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
296,Imperia,IT,88.0,clear sky,43.9667,7.7833,La Stregatta
297,Dudinka,RU,65.62,broken clouds,69.4058,86.1778,Hotel Viktoria
299,Ribeira Grande,PT,74.17,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
300,Chapais,CA,71.11,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
301,Artesia,US,78.01,scattered clouds,33.8658,-118.0831,Sheraton Cerritos Hotel
302,Moron,AR,65.01,clear sky,-34.6534,-58.6198,Hotel Morón
303,Camopi,GF,90.93,few clouds,3.1655,-52.3158,La pousada
304,Manzanillo,CU,91.62,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
305,Olinda,BR,78.51,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
306,Kumluca,TR,85.03,clear sky,36.3703,30.2869,Akkol Apart
307,Griffith,US,89.06,clear sky,41.5284,-87.4237,Apartment above Depot Bar
308,Maragogi,BR,78.26,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
309,Bom Despacho,BR,81.19,few clouds,-19.7364,-45.2522,Sitio Sensation
310,Lamas,PE,83.5,broken clouds,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
313,Zlitan,LY,82.47,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
314,Miri,MY,77.29,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
315,Torbay,CA,77.88,overcast clouds,47.6666,-52.7314,Gallows Cove
317,Naze,JP,78.21,broken clouds,28.3667,129.4833,Shishime Hotel
319,Kapoeta,SS,85.06,broken clouds,4.7717,33.5903,Eastgate Hotel
320,Beroroha,MG,70.86,clear sky,-21.6667,45.1667,
321,Dong Hoi,VN,80.1,overcast clouds,17.4833,106.6,Nam Long Hotel
325,Guerrero Negro,MX,73.89,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
326,Juba,SS,78.28,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
327,Wheeling,US,88.99,clear sky,42.1392,-87.929,The Westin Chicago North Shore
328,Srandakan,ID,74.84,broken clouds,-7.9386,110.2506,Puri Brata
330,Yarmolyntsi,UA,77.65,clear sky,49.1924,26.8373,
331,Fonte Boa,BR,81.09,broken clouds,-2.4959,-66.2662,
332,Port Hedland,AU,71.91,clear sky,-20.3167,118.5667,The Esplanade Hotel
333,Pacific Grove,US,62.28,clear sky,36.6177,-121.9166,Lovers Point Inn
336,Droitwich,GB,70.68,overcast clouds,52.2667,-2.15,St Andrews Town Hotel
337,Khamamatyurt,RU,70.77,broken clouds,43.6081,46.5006,
338,Agapovka,RU,63.54,broken clouds,53.2973,59.1348,Gostinitsa Zhkkh
339,Makakilo City,US,75.18,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
341,Frederikshavn,DK,63.68,broken clouds,57.4407,10.5366,Scandic The Reef
343,Madang,PG,75.42,clear sky,-5.2246,145.7966,Comfort Inn Hotel
344,Sehithwa,BW,68.11,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
347,Antalaha,MG,67.71,light rain,-14.9003,50.2788,Hotel Vitasoa
351,Reconquista,AR,74.34,light rain,-29.15,-59.65,Grand Hotel
353,Yichang,CN,77.07,overcast clouds,30.7144,111.2847,Gezhouba Hotel
354,Empangeni,ZA,66.29,clear sky,-28.762,31.8933,Peermont Metcourt Hotel at Umfolozi
355,Sunnyside,US,82.99,clear sky,46.3237,-120.0087,Rodeway Inn
357,Meadow Lake,US,90.7,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
358,Kloulklubed,PW,83.34,broken clouds,7.0419,134.2556,Storyboard Beach Resort
359,Francisco Sa,BR,84.25,clear sky,-16.4758,-43.4883,Amaralina Hotel
361,Uige,AO,82.35,broken clouds,-7.6087,15.0613,Hotel Catraio
362,Svetlyy,RU,73.96,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
363,Hovd,MN,69.76,light rain,48.0056,91.6419,Hotel Khovd
365,Ganganagar,IN,87.78,overcast clouds,29.9167,73.8833,AMOR HOTEL
367,Kamarion,GR,73.08,clear sky,36.8,25.8167,Rooms Eleni
369,Kandrian,PG,76.66,light rain,-6.2167,149.55,Kandrian Station
370,Lima,PE,63.43,scattered clouds,-12.0432,-77.0282,Hotel Kamana
373,Gusau,NG,87.46,overcast clouds,12.1628,6.6614,GUEST INN
375,Granadilla De Abona,ES,81.03,clear sky,28.1188,-16.576,Hotel Rural Senderos De Abona
378,Ukiah,US,87.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
379,Rio Branco Do Sul,BR,80.22,few clouds,-25.19,-49.3142,DR Hotel Rio Branco do Sul
380,Dzaoudzi,YT,75.09,scattered clouds,-12.7887,45.2699,Le Rocher
383,Iquique,CL,64.26,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
385,Cody,US,85.01,few clouds,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
386,Sur,OM,89.04,broken clouds,22.5667,59.5289,Sur Plaza Hotel
387,Lucapa,AO,81.43,broken clouds,-8.4192,20.7447,Lírio Mendes
388,Dinghai,CN,80.17,scattered clouds,26.2847,119.7936,Shanhai Hotel
390,Ha Tinh,VN,78.31,broken clouds,18.3333,105.9,Phú Quý
391,Tabuk,PH,76.06,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
393,Poum,NC,77.25,scattered clouds,-20.2333,164.0167,
394,Pisco,PE,65.57,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
395,Garowe,SO,83.32,overcast clouds,8.4054,48.4845,Curubo Hotel
398,Guiratinga,BR,90.91,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
400,Caravelas,BR,76.84,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
401,Igunga,TZ,79.11,scattered clouds,-4.2833,33.8833,Serena Lodge
403,Songea,TZ,65.55,broken clouds,-10.6833,35.65,mtakuja
404,Yebaishou,CN,70.66,overcast clouds,41.3975,119.6408,Siji Home
405,Binzhou,CN,73.53,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
406,Basqal,AZ,70.12,broken clouds,40.7552,48.391,BASQAL QONAQ EVI. GUEST HOUSE
407,Paredon,MX,84.16,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
409,Burns Lake,CA,64.22,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
410,Khvorostyanka,RU,63.25,broken clouds,52.6096,48.9597,Gostinitsa Nedorogo
411,Liyang,CN,80.94,broken clouds,29.7057,118.2862,Hui Boutique Hotel
412,Oranjestad,AW,81.0,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
413,Kontagora,NG,78.82,moderate rain,10.3999,5.4695,Queens Guest Inn
415,Isangel,VU,75.92,overcast clouds,-19.55,169.2667,Tanna Lodge
416,Diego De Almagro,CL,68.94,overcast clouds,-26.3667,-70.05,hotel luna del desierto
417,Baijiantan,CN,91.96,broken clouds,45.6333,85.1833,
418,Darnah,LY,79.7,clear sky,32.767,22.6367,فندق الفردوس
419,Caninde,BR,90.54,broken clouds,-4.3589,-39.3117,Hotel Casa Grande II
420,Guangyuan,CN,67.89,scattered clouds,32.442,105.823,Guangyuan Poetry Hotel
421,Ocos,GT,82.54,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
423,Umea,SE,67.93,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
424,Iberia,US,84.97,light rain,29.9502,-91.7507,back to back rv park
425,Lasa,IT,85.08,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
426,Makhinjauri,GE,69.55,broken clouds,41.6739,41.694,Golden Anchor
428,Mwinilunga,ZM,65.84,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
430,Morgan City,US,91.24,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
431,Monchegorsk,RU,62.35,light rain,67.9397,32.8739,Север Inn
433,Luena,AO,70.18,broken clouds,-11.7833,19.9167,Hotel Kandamba
434,Radzyn Podlaski,PL,83.14,scattered clouds,51.7833,22.6167,PAUZA Restauracja & Hotel Radzyń Podlaski
436,Halifax,CA,80.53,overcast clouds,44.6453,-63.5724,Hotel Halifax
438,Labuan,MY,81.12,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
439,Tornio,FI,69.82,overcast clouds,65.8481,24.1466,Park Hotel Tornio
440,Doka,SD,80.62,broken clouds,13.5167,35.7667,Um Rakuba Refugee Camp
441,Chippewa Falls,US,85.89,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
442,Defiance,US,85.21,clear sky,41.3334,-84.45,Airway Estates
444,Quelimane,MZ,73.35,scattered clouds,-17.8786,36.8883,Hotel Flamingo
446,Le Vauclin,MQ,85.84,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
449,Manjacaze,MZ,64.45,few clouds,-24.7117,33.8828,Hotel Gani
450,Garoua,CM,80.67,light rain,9.3,13.4,Dreamland Hotel Annexe Bockle
451,Karabudakhkent,RU,68.4,broken clouds,42.7087,47.5673,
453,Kemijarvi,FI,68.13,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
454,Merauke,ID,75.45,broken clouds,-8.4667,140.3333,
455,Sarkand,KZ,76.98,scattered clouds,45.41,79.9186,Гостиница Сарканд
456,Jumla,NP,64.09,overcast clouds,29.2747,82.1838,Royal Garden Hotel
457,La Huaca,PE,77.77,clear sky,-4.9117,-80.96,HOSPEDAJE “ROUSE”
459,Lorengau,PG,81.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
460,Reyes,BO,85.96,scattered clouds,-14.3167,-67.3833,
462,Komono,JP,79.25,scattered clouds,35.0,136.5167,Aqua Ignis
467,Aloleng,PH,83.39,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
468,Nabire,ID,74.88,broken clouds,-3.3667,135.4833,Hotel Nusantara I
469,Kon Tum,VN,68.76,overcast clouds,14.35,108.0,Hoa đà spa- homestay
470,Nerchinskiy Zavod,RU,65.57,broken clouds,51.3088,119.61,Gostinitsa
472,Butte,US,80.38,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
478,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
479,Atambua,ID,65.44,broken clouds,-9.1061,124.8925,Kost Alfa Flat
480,Santiago De Cao,PE,64.98,broken clouds,-7.9589,-79.2392,Casa de la tía
481,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
482,Fayaoue,NC,77.31,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
484,Pleshanovo,RU,68.31,broken clouds,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
486,San Quintin,MX,72.81,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
487,Chiredzi,ZW,70.2,few clouds,-21.05,31.6667,Clevers Hotel Chiredzi
493,Port Shepstone,ZA,67.32,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
494,Andijon,UZ,81.68,clear sky,40.7821,72.3442,"Hotel ""Bog'ishamol"""
495,Yangambi,CD,70.9,overcast clouds,0.8102,24.4336,
498,Ixtapa,MX,90.23,broken clouds,20.7,-105.2,hotel la terminal
499,Kousseri,CM,78.76,few clouds,12.0769,15.0306,Le Pilotis
500,Coahuayana,MX,90.5,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Audincourt,FR,88.65,broken clouds,47.4833,6.8534,ibis Montbéliard
502,Kieta,PG,76.96,clear sky,-6.2167,155.6333,Uruna Bay Retreat
503,Saltillo,MX,82.29,scattered clouds,25.4167,-101.0,City Express Saltillo Sur
